label,generated_text
7,an image of a horse running through the dirt
7,blurry photo of a gray and black horse running
7,a horse is walking around on the dirt track
7,"person, a clydesdale horse, is leading two horses"
7,one of the horses is walking down a dirt path
7,a horse stands in front of green trees
7,a horse is standing on a field in the background
7,a black dog running and jumping in a dirt yard
7,a black dog walking in the dirt
7,image of a black dog running across a dirt field
7,a photo of a horse standing in a sandy area
7,a horse is standing outside while being groomed
7,white horse on a forest path
7,a white horse standing in the mud with her mane splayed
7,a white horse standing in an open field
7,the horse is standing on the road in front of a big barn
7,a horse stands on dirt next to a water trough
7,the light from the sun is coming from behind the head of a horse
7,a white cat is looking through the fog
7,two horses are being shown in a ring
7,a brown horse being led by the jockey in an arena
7,three horses standing in an arena with people watching
7,a white horse standing in a green field with trees
7,a white horse is standing on a grass field
7,the horse atop an oak tree
7,the horse is walking around in a muddy field
7,a horse is standing in a field next to its owner
7,the horse is brown
7,a girl riding a horse in a barn
7,a woman riding a horse down the road
7,a painted horse with a red head and a green field
7,a horse standing in front of a fence
7,a horse walking through the waves in the ocean
7,person on horseback riding atop a raging wave in ocean
7,the white horses are riding through the water
7,black horse in the woods with person riding on it
7,a person on a horse is walking on the ground
7,person is riding black horse in a fenced yard
7,a gray horse stands next to a wooden background
7,an image of a white toy horse
7,a gray horse standing next to a tree
7,the horse is white and has pink eyes
7,white horse and man in the sand with grass around him
7,a white horse in an indoor paddock with a man standing in front of it
7,two brown horses are standing in an empty pasture
7,the brown horses stand alone in the field
7,a white horse is shown on the blue background
7,"horse on a beach, photo courtesy of tejas barn"
7,horse on dirt lot looking toward the sky
7,horse in a barn and a person next to it
7,the brown horse is on the grass in the distance
7,a horse is running through a grassy field
7,a horse grazing on a green field in a grassy area
7,a horse running in the woods in front of a tree
7,a black and white horse stands in a tree
7,horseback riding in a horse training facility
7,the man is riding a horse on a cloudy day
7,photo of a man on a horse
7,a beautiful horse standing in front of a black wall
7,an image of a brown horse standing in a forest
7,an image of a horse in a dark place
7,the brown horse standing in the field
7,a brown horse is standing in a field
7,a brown horse standing in the field next to trees
7,painting of a horse by person
7,a painting of a horse on a field
7,an oil painting of a horse on the ground
7,a horse that is standing on grass and trees
7,the horse is standing on grass in front of the tree
7,horse - free cross stitch pattern
7,a horse is standing next to an outfit
7,a person stands next to a horse that has blue eyes
7,a person standing near a blue and yellow horse
7,a horse standing in a field with a blurred image
7,a horse is grazing in the middle of a grass field
7,horses in the woods are eating some grass
7,painting of a white horse titled 'pilot'
7,painting of a white horse in the stall
7,painting of a horse by painter
7,photo of a brown horse and foal in a field
7,one brown horse and one foal are standing in the grass
7,a drawing of a horse and foal on the ground
7,a man in cowboy gear riding a black horse
7,man riding black horse in the desert
7,a person in a cowboy outfit is riding a horse
7,a white horse and foal grazing on green grass
7,two white horses standing in a green field
7,a white horse standing in a field
7,person on a horse in a foggy field
7,an image of a horse in the fog
7,the image shows the brown horse standing in the fog
7,a horse standing in a green field with trees
7,a black and white horse in a park with bushes
7,a horse standing on the grass with its white tail on its head
7,horses are in the water and running through a field
7,a horse is running on an icy path in the snow
7,a horse running through an arena on a cloudy day
7,a cartoon showing a man riding a horse in the sky
7,the background of the cartoon show is purple
7,the anime version of a black horse
7,a brown horse is standing in a field
7,person's horse the bay of eden 2
7,a horse with brown fur walking in a field
7,a white horse standing in front of a dark background
7,a stuffed horse and a horse in the dark
7,an artist's drawing of a horse and a lone man
7,white horse in a black background
7,a white horse in a black background
7,white horse with black eyes standing on a black background
7,an white horse standing in a field with trees
7,the white horse is standing in an open field
7,a white horse standing in an empty field
7,white steed png png - horse png
7,an image of a white horse with blue eyes
7,a white horse is standing in front of the grass
7,a woman in blue riding a horse on the beach
7,a blurry photo of a woman riding a brown horse
7,girl riding horse in the back
7,a blurry photo of a horse walking on a grassy area
7,a small brown dog on a dirt field
7,a brown and white horse is standing outside on grass
7,two horses are in the fog together
7,two horses in a foggy field with some fog
7,a black horse is standing in a foggy field
7,the woman is riding a brown horse in the courtyard
7,a woman riding a horse in front of a brick wall
7,a woman in a helmet riding on a horse
7,an orange toy horse standing on green grass
7,a toy horse standing on green grass
7,a toy horse standing on the grass
7,a painting of a horse in front of a fence
7,a horse standing next to a fence next to a tree
7,a horse is standing in the grass with a rope
7,a horse is standing in the field looking at something
7,an horse in a field with clouds in the background
7,a white horse standing on top of grass
7,person & person's horses for sale
7,a horse rider riding in a field with a horse
7,a woman is riding a white horse and holding a pole
7,an image of a person riding a horse around a track
7,the horse is walking across the track
7,the olympics horse riding event 0
7,a horse in an open field in the hills
7,a brown horse running around an enclosure on an open field
7,a brown horse in an arena near a lake
7,a painting of two brown and white horses
7,brown and white horses are standing in a field
7,horse w/breezes painted on wall paper
7,a person riding on a horse in a bronc riding competition
7,a woman is on a horse as other people watch
7,a man in a cowboy hat on a horse
7,an image of a white horse in front of a background
7,white horse in a field with clouds behind it
7,a white horse on a grassy field
7,a black horse is running in the dirt
7,a black horse running around outside in a red field
7,a black horse running through an open area
7,a horse in the misty glare of a low-flying aircraft
7,the horse is standing in a field while it eats grass
7,a picture of two horses in a field
7,a white horse grazes in a field of grass
7,two people are standing outside with a horse
7,person with her horse
7,a woman standing next to a horse
7,a brown horse in a field with trees in the background
7,a horse is standing in a field with yellow flowers
7,a brown horse stands on a field of yellow
7,a picture of a person riding a horse
7,a dark horse standing on a bed with no blanket
7,the black horse is standing in the shadow of an empty chair
7,brown horse stands at the front door
7,a young man standing next to a brown horse in a stable
7,a man standing next to a brown horse
7,a man riding a brown horse in a barn
7,a man riding a horse in an indoor setting
7,a horse and rider are jumping over a small wall
7,the horse is jumping over a brick fence
7,a horse jumping over an obstacle during an event
7,a brown horse running across the blue ocean
7,a running horse on the beach
7,horse with long tail running on the beach
7,a grey horse standing on his back in an open field
7,a horse rearing on its hind legs
7,a grey horse is jumping in the dirt
7,a black horse is standing in the middle of the field
7,a horse in a field is standing in front of a house
7,the black horse standing in the middle of the field
7,a white horse with a white saddle
7,a white horse in front of a brown background
7,a white horse on a brown background
7,a woman is standing next to a brown horse
7,a brown horse standing in the dirt with a person holding a rope
7,a woman in a brown shirt standing by a brown horse
7,a group of cats laying on a floor
7,a digitally painted drawing of a cat in the sand
7,a white cat lying on the floor next to a dog
7,the woman is standing near the horse with a saddle
7,a woman is standing next to her horse
7,woman with hat and boots standing next to brown horse
7,a white horse looking at something in the background
7,a digital painting of a white horse in the desert
7,"the white horse, from the cartoon version"
7,a small horse is running down a white background
7,a horse is running on a white background
7,a silver and black horse is walking in the middle of the background
7,a brown horse stands near a horse that is brown
7,the two brown horses in the green field
7,two brown horses standing in a pasture
7,a horse with her head raised up to a woman
7,the horse has its head tilted downward with it's eye closed
7,an oil painting of a horse standing on a field
7,a painting of a white horse standing on a field
7,a painting of a white horse standing in the field
7,a horse is standing on brown grass
7,a horse standing in a field with a tree behind it
7,a dark black horse in a field
7,the atlantic city horse show is back 0
7,the horse show at the fairgrounds
7,two horses running together through the woods
7,a horse jumping over a river
7,a horse runs along a stream with a water drop
7,a drawing of a horse standing on a ring
7,this is a picture of a horse and rider at a race
7,a man with his horse standing in the grass
7,white horse standing in the middle of the barn
7,a white horse is standing next to some horses
7,"person, person, person, the ponies, horse riding, ponies, barns, person, pony, person, person, person,"
7,photo of the horse riding competition at the fair
7,the rider is on a horse with people standing around it
7,a person is riding a horse in an arena
7,the horse is running in a foggy area
7,"person and the hhs person's olympic gold medal horse, person"
7,person has been a top performer in the british dressage championships and the british team championships
7,a woman is riding a horse in a field
7,a girl riding a black horse around a field
7,person rider atop a horse in a field
7,a person with a black horse on the grass
7,two horses standing together in a field
7,a woman stands next to a horse in a field
7,a horse stands in the grass with a woman
7,horse in the woods is next to a person
7,black and white horse standing with man by it
7,a brown horse standing in a grassy field
7,a brown horse standing on a field in front of a tree
7,"horse photo, free horse photo"
7,two horses have spots on their backs
7,horses with equine jpeg
7,the gray horse with brown spots on it's head
7,a black horse looking in a field
7,a horse is standing next to a tall building
7,a black horse standing in a field
7,a white horse running in the dirt on a dark night
7,a white horse is running across a track
7,a white horse in an arena at night
7,horse sale at rochester zoo 2 0
7,a horse standing on the ground in a sandy area
7,brown horse on a sandy field
7,rider riding a horse during horse training
7,a person riding a brown horse in an open area
7,a person in blue riding a horse
7,a brown horse with a saddle and grass
7,a brown horse is standing on a green field
7,a rodeo is going on with many horses and people in the arena
7,two horse riders racing in the dirt arena
7,a horse standing in a field near trees
7,a brown horse in the middle of an area covered with grass and trees
7,a brown horse in a field in front of a mountain
7,the person with her horse in the blue barn
7,a white horse stands on wooden floor in blue sphere
7,the horse's head in the blue background
7,a small brown horse is standing in a grassy field
7,a small brown horse standing in a field
6,a photo of a small frog sitting on a floor
6,a small frog with legs standing on a bed of leaves
6,frog image on white wall with a brown and yellow frog
6,the back of a frog that is sitting on a white surface
6,an image of a frog sitting in a pot
6,a small tree frog perched on the edge of a log
6,a frog sitting on a twig in a garden
6,a green frog sitting on top of a brown tree
6,there are frogs and plants in this picture
6,the red hot rod frog 0
6,the cat has been spotted outside on the grass
6,a person's finger that has a little frog on it
6,a frog sitting on top of a bed with some bugs around
6,frog - a tiny frog on a green leaf
6,the common red eye tree frog - png
6,frog of the tropics
6,an image of an orange frog with white background
6,a small toy frog that is orange
6,the frog has a long tail and orange color
6,a white horse standing on a white background
6,a dog running in the snow on a white background
6,a frog is sitting on a rock in the sun
6,a frog sitting on top of rocks
6,a digitally painted image of a little frog
6,a frog is sitting on the ground next to some twigs
6,a large frog with a large eye and yellow eyes
6,a frog in a white shell with yellow eyes
6,"a frog with it's eyes open, sitting on a small platform"
6,a cat swimming in the water on the night
6,this is a painting of a face with a black cat
6,a painting of a horse with an open mouth
6,an image of a small cat that is laying down
6,a dog looking at a small stone wall
6,a close up of a black cat on the ground
6,a frog sits on top of an orange leaf
6,a frog is sitting in orange leaves
6,a frog is sitting on some leaves and brown leaves
6,a painting of a tree with two frogs on it
6,a frog sitting on a rock
6,frog on a rock and leaf
6,a dog is standing in the grass with some other animals
6,a black and white cat is sitting in the dirt
6,a frog is sitting on the edge of the ground
6,an image of a frog with a face and a pink shirt
6,"person, the little pink frog"
6,a cute little cat that is walking around
