label,generated_text
1,a man wearing a black jacket
1,a man in a jacket
1,a man with hair standing on the sidewalk
1,"ted cruz, republican presidential candidate for president, speaks on stage in a suit"
1,a man in a hat in front of a group of people
1,a man wearing a grey suit and hat
1,a man is wearing a hat
1,a woman and man are smiling while wearing caps
1,a man in a white beanie wearing a hat
1,a man with an open mouth is standing in front of a crowd
1,a man in a blue tie is holding his mouth open
1,a man with long curly hair is speaking to a microphone
1,a man with long curly hair talking to a microphone
1,a man with glasses wearing a black skull cap
1,a man wearing glasses and a black hat is smiling
1,a man in a red jacket is talking to people
1,a man in a red jacket has his mouth open
1,an open mouthed man with red and black sweater
1,two females pose with an umbrella
1,two women with red berets standing in front of a white tent
1,a military man in uniform and wearing a hat
1,a man in uniform stands with a group of other men
1,a man wearing a hat and coat with green military striped tie
1,a young couple smiling together in a snowy scene
1,a man with snow on his head
1,a man and a woman standing outdoors
1,an older man sitting in a chair with a green sweater on
1,a man sitting in a chair is wearing a grey sweater
1,an older man with a long beard wearing a green shirt
1,the man is wearing orange shirt
1,a man wearing an orange shirt at a sporting event
1,a man in suit with blue microphone holding a microphone
1,a man holding a microphone outside a building
1,a man in a suit and hat speaks with reporters
1,a man wearing a tinsel hat in front of other people
1,a man in a hat is looking around a crowd
1,a man wearing a tinsel headband posing with other people
1,a man sticking his tongue out
1,a man with a beard sticking his tongue out
1,a man wearing black sunglasses
1,an older man with short hair is standing in front of a crowd of people
1,an asian man with a white tie and grey jacket in front of people
1,a senior woman wearing a blue top with a black headband
1,an elderly woman looking at her cell phone while walking
1,woman - indian woman - ebony black and white print dress
1,the man smiles as he stands next to a lake
1,the man in the sweater is standing next to the ocean
1,a man smiling next to the ocean
1,a man with a beard looks off into the distance
1,an image of a man with black shirt standing in the background
1,the man is speaking with a reporter while holding a microphone
1,a man standing next to a brick wall wearing a brown jacket
1,a man standing outside of a brick building wearing a tie and jacket
1,a smiling older woman with braids and a white shirt
1,african woman smiles at camera at her church
1,a woman standing in front of a microphone
1,a woman with a blue jacket and standing at a microphone
1,a man wearing a black coat
1,a man wearing a hat and scarf
1,glasses worn by man
1,an older man with a cap poses for a picture
1,a man in a black hat and shirt standing next to greenery
1,an older man is wearing a baseball hat in front of a green lawn
1,a man with blue shirt and orange hat
1,the man has blue glasses
1,a man with sunglasses on his head
1,a man smiling while wearing sunglasses and bike
1,a man wearing sunglasses and a bicycle hat
1,an older man with a purple headband
1,a man in a bandana in a forest
1,an old man wearing a purple head band
1,a man wearing a uniform and a tie
1,the man in the military uniform with his hands in his pocket
1,a man is wearing a military uniform and talking
1,a man in a red jacket with black hair is wearing a black shirt
1,a man with hair wearing a suit and tie
1,a man in a suit and tie sits in an open area
1,an image of a man in a suit
1,a man in a top hat and black tie holding a lighted lantern
1,charlie is an old-time actor / writer / steampunk enthusiast
1,a man in red hat holding an antique lamp
1,a man is putting his hand on his partner's face
1,man is wearing glasses
1,a woman kissing a man
1,a man in a suit and tie talking with people
1,a man in suit is surrounded by people while speaking to reporters
1,a man in a suit surrounded by media at a street
1,a man is smiling while standing in front of a white fence
1,the man is smiling for the camera
1,a man is smiling in front of a trellis
1,an image of a man wearing a shirt with a blue collar
1,a man in front of a colorful painting
1,a man wearing a red shirt smiling
1,an old fashioned typewriter on a desk
1,a man is wearing a dark blue sweater and jacket
1,man in red sweater
1,"men's world frankie adams, md, md"
1,a man speaking into a microphone
1,a man in a black shirt pointing into the room
1,a man wearing a bike helmet and smiling
1,a man wearing a bike helmet and a blue shirt
1,the man is wearing a blue helmet
1,two women in blue uniforms pose with an officer
1,a woman in a black dress posing with a police officer
1,two women are wearing hats and standing next to each other
1,a man wearing sunglasses
1,a man wearing sunglasses
